A ginga do mané,Choro Chediak 1.pdf,4
A vida é um buracao,Choro Chediak 1.pdf,28
Agüenta Seu Fulgéncio,Choro Chediak 1.pdf,6
Alma brasileira,Choro Chediak 1.pdf,8
Alvarado,Choro Chediak 1.pdf,10
Amigo bandolim,Choro Chediak 1.pdf,12
Amor não se compra,Choro Chediak 1.pdf,14
Ano novo,Choro Chediak 1.pdf,16
Apenhei-té cavaquinho,Choro Chediak 1.pdf,18
Araponga,Choro Chediak 1.pdf,20
Assanhado,Choro Chediak 1.pdf,22
Atlántico,Choro Chediak 1.pdf,26
Atraente,Choro Chediak 1.pdf,24
Beliscando,Choro Chediak 1.pdf,30
Benzinho,Choro Chediak 1.pdf,32
Bole bole,Choro Chediak 1.pdf,34
Boneca,Choro Chediak 1.pdf,36
Bonicrates de muleta,Choro Chediak 1.pdf,38
Cadéncia,Choro Chediak 1.pdf,40
Caminhando,Choro Chediak 1.pdf,42
Canarinho teimoso,Choro Chediak 1.pdf,44
Carinhoso,Choro Chediak 1.pdf,46
Carioca 1,Choro Chediak 1.pdf,48
Cem anos de choro,Choro Chediak 1.pdf,50
Chorando pra Pixinguinha,Choro Chediak 1.pdf,52
Chorinho do Sovaco de Cobra,Choro Chediak 1.pdf,54
Chorinho na gafieira,Choro Chediak 1.pdf,56
Chorode memórias,Choro Chediak 1.pdf,58
Cochichando,Choro Chediak 1.pdf,60
Conversa de botequim,Choro Chediak 1.pdf,62
De coração a coraçäo,Choro Chediak 1.pdf,64
De Limoeiro a Mossoró,Choro Chediak 1.pdf,66
Dengoso,Choro Chediak 1.pdf,68
Desvairada,Choro Chediak 1.pdf,70
Diabinho maluco,Choro Chediak 1.pdf,72
Dinorah,Choro Chediak 1.pdf,74
Displicente,Choro Chediak 1.pdf,76
Do sorriso das mulheres nasceram as flores,Choro Chediak 1.pdf,78
Doce de coco,Choro Chediak 1.pdf,80
Dr. Sabe-tudo,Choro Chediak 1.pdf,82
Enigmático,Choro Chediak 1.pdf,84
Espinha de bacalhau,Choro Chediak 1.pdf,86
Eu quero é sossego,Choro Chediak 1.pdf,88
Feitiço,Choro Chediak 1.pdf,90
Flor amorosa,Choro Chediak 1.pdf,92
Fogo na roupa,Choro Chediak 1.pdf,94
Forró de gala,Choro Chediak 1.pdf,96
Gadú namorando,Choro Chediak 1.pdf,98
Garoto,Choro Chediak 1.pdf,100
Glória,Choro Chediak 1.pdf,102
Graúna,Choro Chediak 1.pdf,104
Harmonia selvagem,Choro Chediak 1.pdf,106
Haroldo no choro,Choro Chediak 1.pdf,108
Implicante,Choro Chediak 1.pdf,110
Insequecível,Choro Chediak 1.pdf,112
Língua de preto,Choro Chediak 1.pdf,114
Mimosa,Choro Chediak 1.pdf,116
Mistura e manda,Choro Chediak 1.pdf,118
Modulando,Choro Chediak 1.pdf,120
Murmurando,Choro Chediak 1.pdf,122
O bom filho à casa torna,Choro Chediak 1.pdf,124
O vôo da mosca,Choro Chediak 1.pdf,126
Odeon,Choro Chediak 1.pdf,128
Os cinco companheiros,Choro Chediak 1.pdf,130
Os trés chorões,Choro Chediak 1.pdf,132
Paciente,Choro Chediak 1.pdf,134
Paraquedista,Choro Chediak 1.pdf,136
Perspectivo,Choro Chediak 1.pdf,138
Picadinho à baiana,Choro Chediak 1.pdf,140
Quando me lembro,Choro Chediak 1.pdf,142
5 valsa de esquina,Choro Chediak 1.pdf,146
Radamés y Pelé,Choro Chediak 1.pdf,148
Recado,Choro Chediak 1.pdf,150
Receita de samba,Choro Chediak 1.pdf,152
Remexendo,Choro Chediak 1.pdf,154
Revendo o passado,Choro Chediak 1.pdf,156
Rio antigo,Choro Chediak 1.pdf,158
Rosa,Choro Chediak 1.pdf,160
Santa morena,Choro Chediak 1.pdf,162
Sapeca,Choro Chediak 1.pdf,164
Sarau para Radamés,Choro Chediak 1.pdf,166
Se ela perguntar,Choro Chediak 1.pdf,168
Sensível,Choro Chediak 1.pdf,170
Serpentina,Choro Chediak 1.pdf,172
Sons de carrilhões,Choro Chediak 1.pdf,174
Subindo ao céu,Choro Chediak 1.pdf,176
Tempo de criança,Choro Chediak 1.pdf,178
Tira poeira,Choro Chediak 1.pdf,180
Turbilhão de beijos,Choro Chediak 1.pdf,182
Um chorinho diferente,Choro Chediak 1.pdf,184
Um chorinho em aldeia,Choro Chediak 1.pdf,186
Um chorinho pra vôce,Choro Chediak 1.pdf,188
Um sarau para Rafael,Choro Chediak 1.pdf,190
Urubu malandro,Choro Chediak 1.pdf,192
Vale tudo,Choro Chediak 1.pdf,194
Valsa sem nome,Choro Chediak 1.pdf,196
Vibrações,Choro Chediak 1.pdf,198